brand_key,brand,segment,industry
6253e1406b64bbe6ba7b00ac0bf81257,CocaCola,Enterprise,Food & Beverage
1f3870be274f6c49b3e31a0c6728957f,Apple,Enterprise,Consumer Tech
0d40d32696b652390fb286b8dd5b634e,Canva,Startup,Design SaaS
7592fa175d6eef5711d311a6516a6a9d,Airbnb,Enterprise,Travel
2d0d4809e6bdb6f4db3e547f27b1873c,Amazon,Enterprise,Ecommerce
c9096e2a4abd277fecac4bcc66aaa090,Oura,Startup,Wearables
636c557cea67ea7d0c8ceca86563b79b,Glossier,Startup,Beauty DTC
23d03df42d14f7fa1b1cae411bc90427,Duolingo,Startup,EdTech
41fd220f05ed0d8c56e3b83af87d45d7,Nike,Enterprise,Consumer Goods
5ea790e4a248dab6ac4b6ae1854463c7,Notion,Startup,Productivity SaaS
