brand,channel,ad_library_id,start_date,creative_type,headline,cta,landing_domain
Whatnot,Meta,100073841700317,2025-03-19,Image,"MIGUEL CABRERA (RC) ~ 2003 Fleer Trading Update Diamond Debut Insert",Install Now,itunes.apple.com
Whiteout Survival,Meta,113260751759588,2025-09-30,Video,"You must scour for resources in the ice field if you want to survive",Install Now,itunes.apple.com
Whiteout Survival,Meta,1109246461305253,2025-09-30,Video,"Play the Original, Play the Best!",Install Now,itunes.apple.com
Whiteout Survival,Meta,1133260751579588,2025-09-30,Video,"Play the Original, Play the Best!",Install Now,itunes.apple.com
Rocket Money,Meta,1973145533551754,2025-11-24,Image,"Track spending. Find savings. One simple app.",Install Now,rocketmoney.com
Last Z: Survival Shooter,Meta,1567276431079612,2025-11-24,Video,"Many failed before! Think you can do better?",Install Now,itunes.apple.com
Nike,Meta,161966936869658,2023-08-15,Image,"Entra a Nike.com y encuentra actualizaciones semanales de producto con envío gratis.",Shop Now,nike.com
Foot Locker,Meta,1233392195475044,2025-11-03,Image,"Get a deal on styles from fan-favorite brands.",Shop Now,footlocker.com
Intersport Elverys,Meta,1700063364126216,2024-10-09,Image,"Shop our best offers online NOW and get FREE standard delivery on orders over €70!",Shop Now,intersportelverys.ie
Nike,Meta,1016451784037642,2025-06-20,Image,"Get the gear that goes hard on and off the field.",Shop Now,nike.com
Whatnot,Meta,1502078871070045,2025-11-14,Video,"Yup, you can buy new outfits without breaking the bank. Save on fashion.",Shop Now,whatnot.com
Whatnot,Meta,1509773093567021,2025-11-14,Video,"Yup, you can buy new outfits without breaking the bank. Save on fashion.",Shop Now,whatnot.com
Airbnb,Meta,1183406630645322,2025-12-31,Image,"Reserve uma casa bem espaçosa, divirta-se com a família e chame um chef pra cozinhar enquanto você relaxa. Alguma dúvida?",Book Now,airbnb.com
Airbnb,Meta,1904059710190770,2026-01-01,Image,"Book a home where you can spread out, do fun stuff together, and get someone to make you meatballs…any questions?",Book Now,airbnb.com
Ubud Zen River House,Meta,315137118208088,2024-02-28,Image,"Ubud Zen River House",Book Now,airbnb.com
Airbnb,Meta,763222336056603,2026-01-01,Image,"Now you can Airbnb more than an Airbnb.",Learn More,airbnb.com
Airbnb,Meta,4195445590714618,2026-01-01,Image,"Kick off your @fifaworldcup and find the perfect home base in host cities across Mexico, USA, and Canada.",Book Now,airbnb.com
Amazon,Meta,1765117730992704,2024-12-19,Image,"Shop the latest fashion trends. *May earn commission.","Shop Now",amazon.com
Amazon,Meta,1743270243734881,2025-07-28,Image,"Trending looks and casual essentials. Update your closet with these top Amazon finds.","Shop Now",amazon.com
Amazon,Meta,832442623014500,2025-12-02,Image,"Shop Amazon Influencers' favorite interior design picks.","Shop Now",amazon.com
Amazon,Meta,1525508361831631,2025-12-02,Image,"Shop women's style favorites, curated by Amazon Influencers.","Shop Now",amazon.com
Amazon,Meta,1939418870155362,2025-07-28,Image,"Discover top-rated home finds.","Shop Now",amazon.com
Amazon,Meta,3696944990600196,2025-07-28,Image,"From sneakers to stilettos, check out these top Amazon finds.","Shop Now",amazon.com
Royal Kingdom,Meta,879803028052516,2025-12-09,Video,"No ADS and FREE 👉","Install Now",itunes.apple.com
Royal Kingdom,Meta,1904968013729779,2025-12-09,Video,"⭐️ No ADS ⭐","Install Now",itunes.apple.com
Royal Kingdom,Meta,1236073424695307,2025-06-18,Video,"⭐️ No ADS ⭐","Install Now",itunes.apple.com
Royal Kingdom,Meta,780351431627211,2025-09-23,Video,"No ADS and FREE 👉","Install Now",itunes.apple.com
Royal Kingdom,Meta,817042017630198,2025-11-18,Video,"⭐️ No ADS ⭐","Install Now",itunes.apple.com
SortPuz,Meta,2508085302661442,2022-05-20,Video,"SortPuz puzzle challenge awaits you.","Install Now",itunes.apple.com
SortPuz,Meta,1195664207973583,2022-12-03,Video,"SortPuz addictive puzzle gameplay.","Install Now",itunes.apple.com
SortPuz,Meta,829076171712809,2022-12-03,Video,"SortPuz brain teasing puzzle fun.","Install Now",itunes.apple.com
Last Z: Survival Shooter,Meta,812214434654653,2025-10-11,Video,"Many failed before! Think you can do better?","Install Now",itunes.apple.com
Last Z: Survival Shooter,Meta,24243690841973402,2025-11-24,Video,"Many failed before! Think you can do better?","Install Now",itunes.apple.com
